empresa_id,nombre,ciudad,sector,tamano,cultura,escenario,burnout_base,boreout_base,wellbeing_base,rotation_base
EST_000,estable_Corp_0,Sevilla,Tecnología,Pequeña,Clan,estable,2.5,2.2,3.4,2.3
EST_001,estable_Corp_1,Madrid,Salud,Mediana,Jerarquica,estable,2.5,2.2,3.4,2.3
EST_002,estable_Corp_2,Barcelona,Educación,Grande,Clan,estable,2.5,2.2,3.4,2.3
EST_003,estable_Corp_3,Bilbao,Salud,Pequeña,Jerarquica,estable,2.5,2.2,3.4,2.3
EST_004,estable_Corp_4,Madrid,Educación,Grande,Mercado,estable,2.5,2.2,3.4,2.3
EST_005,estable_Corp_5,Valencia,Educación,Pequeña,Mercado,estable,2.5,2.2,3.4,2.3
EST_006,estable_Corp_6,Barcelona,Salud,Mediana,Mercado,estable,2.5,2.2,3.4,2.3
EST_007,estable_Corp_7,Valencia,Salud,Mediana,Mercado,estable,2.5,2.2,3.4,2.3
EST_008,estable_Corp_8,Valencia,Retail,Grande,Clan,estable,2.5,2.2,3.4,2.3
EST_009,estable_Corp_9,Bilbao,Salud,Grande,Adhocracia,estable,2.5,2.2,3.4,2.3
EST_010,estable_Corp_10,Madrid,Educación,Pequeña,Clan,estable,2.5,2.2,3.4,2.3
EST_011,estable_Corp_11,Valencia,Educación,Grande,Jerarquica,estable,2.5,2.2,3.4,2.3
EST_012,estable_Corp_12,Bilbao,Tecnología,Mediana,Clan,estable,2.5,2.2,3.4,2.3
EST_013,estable_Corp_13,Valencia,Educación,Grande,Mercado,estable,2.5,2.2,3.4,2.3
EST_014,estable_Corp_14,Valencia,Retail,Pequeña,Clan,estable,2.5,2.2,3.4,2.3
EST_015,estable_Corp_15,Barcelona,Retail,Mediana,Jerarquica,estable,2.5,2.2,3.4,2.3
EST_016,estable_Corp_16,Barcelona,Educación,Micro,Clan,estable,2.5,2.2,3.4,2.3
EST_017,estable_Corp_17,Bilbao,Educación,Grande,Jerarquica,estable,2.5,2.2,3.4,2.3
EST_018,estable_Corp_18,Valencia,Tecnología,Grande,Clan,estable,2.5,2.2,3.4,2.3
EST_019,estable_Corp_19,Bilbao,Educación,Mediana,Jerarquica,estable,2.5,2.2,3.4,2.3
EST_020,estable_Corp_20,Valencia,Educación,Mediana,Mercado,estable,2.5,2.2,3.4,2.3
EST_021,estable_Corp_21,Sevilla,Salud,Mediana,Adhocracia,estable,2.5,2.2,3.4,2.3
EST_022,estable_Corp_22,Sevilla,Finanzas,Pequeña,Mercado,estable,2.5,2.2,3.4,2.3
EST_023,estable_Corp_23,Madrid,Tecnología,Mediana,Adhocracia,estable,2.5,2.2,3.4,2.3
EST_024,estable_Corp_24,Sevilla,Tecnología,Pequeña,Clan,estable,2.5,2.2,3.4,2.3
EST_025,estable_Corp_25,Madrid,Retail,Pequeña,Mercado,estable,2.5,2.2,3.4,2.3
EST_026,estable_Corp_26,Sevilla,Retail,Pequeña,Mercado,estable,2.5,2.2,3.4,2.3
EST_027,estable_Corp_27,Madrid,Educación,Pequeña,Mercado,estable,2.5,2.2,3.4,2.3
EST_028,estable_Corp_28,Bilbao,Finanzas,Grande,Mercado,estable,2.5,2.2,3.4,2.3
EST_029,estable_Corp_29,Sevilla,Educación,Micro,Mercado,estable,2.5,2.2,3.4,2.3
EST_030,estable_Corp_30,Madrid,Finanzas,Mediana,Clan,estable,2.5,2.2,3.4,2.3
EST_031,estable_Corp_31,Barcelona,Tecnología,Pequeña,Mercado,estable,2.5,2.2,3.4,2.3
EST_032,estable_Corp_32,Bilbao,Tecnología,Micro,Jerarquica,estable,2.5,2.2,3.4,2.3
EST_033,estable_Corp_33,Madrid,Educación,Pequeña,Jerarquica,estable,2.5,2.2,3.4,2.3
EST_034,estable_Corp_34,Sevilla,Finanzas,Mediana,Clan,estable,2.5,2.2,3.4,2.3
EST_035,estable_Corp_35,Sevilla,Retail,Micro,Mercado,estable,2.5,2.2,3.4,2.3
EST_036,estable_Corp_36,Madrid,Retail,Grande,Clan,estable,2.5,2.2,3.4,2.3
EST_037,estable_Corp_37,Sevilla,Educación,Mediana,Mercado,estable,2.5,2.2,3.4,2.3
EST_038,estable_Corp_38,Barcelona,Finanzas,Mediana,Jerarquica,estable,2.5,2.2,3.4,2.3
EST_039,estable_Corp_39,Sevilla,Retail,Mediana,Mercado,estable,2.5,2.2,3.4,2.3
EST_040,estable_Corp_40,Madrid,Tecnología,Mediana,Jerarquica,estable,2.5,2.2,3.4,2.3
EST_041,estable_Corp_41,Madrid,Retail,Pequeña,Clan,estable,2.5,2.2,3.4,2.3
EST_042,estable_Corp_42,Valencia,Retail,Mediana,Jerarquica,estable,2.5,2.2,3.4,2.3
EST_043,estable_Corp_43,Bilbao,Retail,Mediana,Clan,estable,2.5,2.2,3.4,2.3
EST_044,estable_Corp_44,Barcelona,Educación,Mediana,Clan,estable,2.5,2.2,3.4,2.3
EST_045,estable_Corp_45,Valencia,Salud,Micro,Clan,estable,2.5,2.2,3.4,2.3
EST_046,estable_Corp_46,Barcelona,Finanzas,Pequeña,Adhocracia,estable,2.5,2.2,3.4,2.3
EST_047,estable_Corp_47,Madrid,Tecnología,Grande,Jerarquica,estable,2.5,2.2,3.4,2.3
EST_048,estable_Corp_48,Bilbao,Educación,Mediana,Mercado,estable,2.5,2.2,3.4,2.3
EST_049,estable_Corp_49,Bilbao,Tecnología,Mediana,Mercado,estable,2.5,2.2,3.4,2.3
