empresa_id,nombre,ciudad,sector,tamano,cultura,escenario,burnout_base,boreout_base,wellbeing_base,rotation_base
SAL_000,saludable_Corp_0,Madrid,Fintech,Grande,Exigente,saludable,2.0,1.8,4.2,1.5
SAL_001,saludable_Corp_1,Madrid,Fintech,Pequeña,Tradicional,saludable,2.0,1.8,4.2,1.5
SAL_002,saludable_Corp_2,Barcelona,Tech,Grande,Innovadora,saludable,2.0,1.8,4.2,1.5
SAL_003,saludable_Corp_3,Barcelona,Consultoría,Pequeña,Exigente,saludable,2.0,1.8,4.2,1.5
SAL_004,saludable_Corp_4,Bilbao,E-commerce,Pequeña,Colaborativa,saludable,2.0,1.8,4.2,1.5
SAL_005,saludable_Corp_5,Madrid,Consultoría,Pequeña,Exigente,saludable,2.0,1.8,4.2,1.5
SAL_006,saludable_Corp_6,Barcelona,E-commerce,Micro,Innovadora,saludable,2.0,1.8,4.2,1.5
SAL_007,saludable_Corp_7,Bilbao,E-commerce,Micro,Colaborativa,saludable,2.0,1.8,4.2,1.5
SAL_008,saludable_Corp_8,Bilbao,Fintech,Grande,Innovadora,saludable,2.0,1.8,4.2,1.5
SAL_009,saludable_Corp_9,Bilbao,E-commerce,Mediana,Tradicional,saludable,2.0,1.8,4.2,1.5
SAL_010,saludable_Corp_10,Madrid,Consultoría,Pequeña,Exigente,saludable,2.0,1.8,4.2,1.5
SAL_011,saludable_Corp_11,Bilbao,E-commerce,Micro,Colaborativa,saludable,2.0,1.8,4.2,1.5
SAL_012,saludable_Corp_12,Barcelona,Consultoría,Mediana,Colaborativa,saludable,2.0,1.8,4.2,1.5
SAL_013,saludable_Corp_13,Barcelona,Consultoría,Mediana,Colaborativa,saludable,2.0,1.8,4.2,1.5
SAL_014,saludable_Corp_14,Bilbao,Consultoría,Micro,Innovadora,saludable,2.0,1.8,4.2,1.5
SAL_015,saludable_Corp_15,Bilbao,Tech,Grande,Colaborativa,saludable,2.0,1.8,4.2,1.5
SAL_016,saludable_Corp_16,Barcelona,Consultoría,Grande,Innovadora,saludable,2.0,1.8,4.2,1.5
SAL_017,saludable_Corp_17,Madrid,E-commerce,Grande,Innovadora,saludable,2.0,1.8,4.2,1.5
SAL_018,saludable_Corp_18,Madrid,E-commerce,Pequeña,Innovadora,saludable,2.0,1.8,4.2,1.5
SAL_019,saludable_Corp_19,Madrid,E-commerce,Micro,Innovadora,saludable,2.0,1.8,4.2,1.5
SAL_020,saludable_Corp_20,Barcelona,Consultoría,Pequeña,Exigente,saludable,2.0,1.8,4.2,1.5
SAL_021,saludable_Corp_21,Madrid,Tech,Micro,Innovadora,saludable,2.0,1.8,4.2,1.5
SAL_022,saludable_Corp_22,Madrid,E-commerce,Micro,Colaborativa,saludable,2.0,1.8,4.2,1.5
SAL_023,saludable_Corp_23,Madrid,Consultoría,Micro,Innovadora,saludable,2.0,1.8,4.2,1.5
SAL_024,saludable_Corp_24,Madrid,Fintech,Grande,Innovadora,saludable,2.0,1.8,4.2,1.5
SAL_025,saludable_Corp_25,Bilbao,Tech,Micro,Innovadora,saludable,2.0,1.8,4.2,1.5
SAL_026,saludable_Corp_26,Madrid,E-commerce,Grande,Colaborativa,saludable,2.0,1.8,4.2,1.5
SAL_027,saludable_Corp_27,Madrid,Tech,Mediana,Innovadora,saludable,2.0,1.8,4.2,1.5
SAL_028,saludable_Corp_28,Barcelona,Fintech,Pequeña,Tradicional,saludable,2.0,1.8,4.2,1.5
